,Date,Apple_Closing_Price,Apple_Volume,MSFT_Closing_Price,MSFT_Volume,AMZN_Closing_Price,AMZN_Volume,GOOGL_Closing_Price,GOOGL_Volume,FB_Closing_Price,FB_Volume,ALI_Closing_Price,ALI_Volume,Cisco_Closing_Price,Cisco_Volume,Oracle_Closing_Price,Oracle_Volume,NFLX_Closing_Price,NFLX_Volume,Intel_Closing_Price,Intel_Volume
0,2020-04-28,278.58,27258610,169.81,33687238,2314.08,5161817,1232.59,3352246,182.91,20000732,201.15,17160322,42.49,15964973,53.2,8011462,403.83,9983797,58.75,26474498
1,2020-04-27,283.17,29271893,174.05,33194384,2376.0,5645645,1270.86,2209333,187.5,29197750,203.69,17272917,43.06,17937887,53.37,9123193,421.38,6277480,59.47,25902236
2,2020-04-24,282.97,31627183,174.55,34305320,2410.22,3831797,1276.6,1872004,190.07,28868528,204.36,14670810,42.52,14641718,53.01,9403459,424.99,8670362,59.26,50220505
3,2020-04-23,275.03,31203582,171.42,32790804,2399.45,5066552,1271.17,1710122,185.13,21426604,205.24,20403126,41.62,16100169,51.97,10329953,426.7,13952330,59.04,35091952
4,2020-04-22,276.1,29264342,173.52,34651604,2363.49,4218295,1258.41,2315792,182.28,33369931,209.96,13470077,41.76,18337406,52.27,9668271,421.42,21123773,60.1,23443745
5,2020-04-21,268.37,45247893,167.82,56203749,2328.12,7476679,1212.16,2482404,170.8,24850528,207.34,14097590,40.55,31661042,51.31,14050157,433.83,23177550,56.36,25248033
6,2020-04-20,276.93,32503750,175.06,36669595,2393.61,5770694,1261.15,1764608,178.24,16110664,212.13,19270657,42.54,23438799,53.91,10355660,437.49,12655818,59.18,26420309
7,2020-04-17,282.8,53812478,178.6,52765625,2375.0,7930010,1279.0,2552824,179.24,20974750,209.5,13552463,42.48,30701461,54.62,13608825,422.96,12616258,60.36,27385636
8,2020-04-16,286.69,39281290,177.04,50479610,2408.19,12038201,1257.43,2894757,176.25,23593229,212.66,16291801,41.5,26177970,53.7,14092974,439.17,16128666,60.79,24433516
9,2020-04-15,284.43,32788641,171.88,40940833,2307.68,6866567,1257.3,2111842,176.97,17423003,208.17,10738255,41.52,18428791,53.16,10398060,426.75,13561222,58.87,22841552
10,2020-04-14,287.05,48748672,173.7,52874338,2283.32,8087193,1265.23,3167862,178.17,21011815,204.78,16743477,42.78,22882368,54.0,11674548,413.55,11580983,60.66,25673992
11,2020-04-13,273.25,32755731,165.51,41905264,2168.87,6716709,1210.41,1935128,174.79,19355355,199.44,16098090,41.22,19591971,52.97,12693965,396.72,11692922,58.7,23251938
12,2020-04-09,267.99,40529123,165.14,51431775,2042.76,4655617,1206.57,2701423,175.19,23534287,196.37,17806072,41.2,27650195,53.18,15521222,370.72,7711296,57.14,40515419
13,2020-04-08,266.07,42223821,165.13,48318234,2043.0,3977313,1207.0,2016713,174.28,21664198,195.98,13592904,41.74,22683517,52.13,15708310,371.12,6908879,58.98,26719500
14,2020-04-07,259.43,50721831,163.49,62769038,2011.6,5113983,1182.56,3080955,168.83,31411919,198.0,14709057,40.64,30366068,50.76,14062236,372.28,7046438,58.4,41410012
15,2020-04-06,262.47,50455071,165.27,67111697,1997.59,5773181,1183.19,3165991,165.55,28453581,196.45,13234731,41.43,31641428,51.49,13836845,379.96,8183921,58.43,32323387
16,2020-04-03,241.41,32470017,153.83,41243284,1906.59,3609870,1092.7,2568694,154.18,25983317,187.11,9478000,39.06,21235157,49.4,13359676,361.76,4860768,54.13,23906062
17,2020-04-02,244.93,41483493,155.26,49630735,1918.83,4335985,1117.03,2820534,158.19,20886309,188.9,13390908,39.8,28180489,49.8,16468079,370.08,4592477,54.35,27809987
18,2020-04-01,240.91,44054638,152.11,57969926,1907.7,4121875,1102.1,2598519,159.6,19507559,187.56,17924805,38.33,26790667,48.71,17914778,364.08,6672454,51.88,29586562
19,2020-03-31,254.29,49250501,157.71,77927186,1949.72,5123626,1161.95,3263971,166.8,23676283,194.48,19038561,39.31,26019845,48.33,15801424,375.5,9366464,54.12,48081861
20,2020-03-30,254.81,41994110,160.23,63420326,1963.95,6126087,1146.31,2936827,165.95,22515225,191.27,12241539,40.32,27120333,50.36,20611186,370.96,8621964,55.49,31628610
21,2020-03-27,247.74,51054153,149.7,57042291,1900.1,5387897,1110.26,3139661,156.79,24879869,188.59,13339931,38.82,31278581,49.83,20020720,357.12,7948775,52.37,31633487
22,2020-03-26,258.44,63140169,156.11,64694427,1955.49,6235118,1162.92,3834422,163.34,26579021,195.32,15422018,40.58,38487226,50.48,22417560,362.99,7235016,55.54,41475406
23,2020-03-25,245.52,75900510,146.92,75638224,1885.84,6479073,1101.62,4516162,156.21,35184271,188.56,19591796,37.67,42873923,45.94,25622467,342.39,8767171,51.26,41106063
24,2020-03-24,246.88,71882773,148.34,82516727,1940.1,7147080,1130.01,3623435,160.98,30440369,185.75,20761369,38.6,48235609,47.84,19319997,357.32,11638683,52.4,50019753
25,2020-03-23,224.37,84188208,135.98,78975176,1902.83,7808489,1054.13,4183629,148.1,29830765,176.34,22423433,34.6,39823397,44.19,23056592,360.27,13449378,49.58,46698478
26,2020-03-20,229.24,100423346,137.35,84866215,1846.09,9817850,1068.21,4143897,149.73,32568398,181.3,20995211,35.6,48582546,45.65,26340724,332.83,10853846,45.83,52344045
27,2020-03-19,244.78,67964255,142.71,85922661,1880.93,10399943,1111.67,3703248,153.13,39862312,180.88,20883335,37.71,58319654,45.07,20157318,332.03,10615957,45.94,44538030
28,2020-03-18,246.67,75058406,140.4,81593173,1830.0,9596297,1091.19,4636840,146.96,37553136,180.0,21975514,37.12,56904267,47.27,29536267,315.47,12560908,47.61,49309879
29,2020-03-17,252.86,81013965,146.57,81059817,1807.84,10917129,1118.06,4159686,149.42,34255596,184.81,19248148,35.5,41572404,46.86,25582910,319.75,10013913,50.08,52085162
30,2020-03-16,242.21,80605865,135.42,87905868,1689.15,8917265,1073.0,4825981,146.01,39120419,178.85,26586129,33.71,44211289,42.72,27492459,298.84,10559940,44.61,53878939
31,2020-03-13,277.97,92683032,158.83,92727446,1785.0,8809725,1214.27,3969973,170.28,35028627,194.0,23620039,37.64,53859600,47.93,28334340,336.295,9458197,54.43,48805059
32,2020-03-12,248.23,104618517,139.06,93226366,1676.61,11346214,1111.55,4716293,154.47,43266335,185.1,30149818,33.2,51855305,39.8,24097400,315.25,12071591,45.54,50661745
33,2020-03-11,275.43,64094970,153.63,56504304,1820.86,5646831,1210.9,2741694,170.24,20397204,198.91,18832125,37.05,63608527,44.72,23663475,349.92,6058782,51.66,38573961
34,2020-03-10,285.34,71322520,160.92,65354385,1891.82,7133310,1275.17,2743566,178.19,24517791,206.39,18982458,40.08,50536518,48.58,27067108,364.13,7604444,53.98,36568951
35,2020-03-09,266.17,71686208,150.62,70419274,1800.61,7813232,1215.79,3462578,169.5,29949041,197.66,25458475,37.96,61535333,46.01,25945887,346.49,7405458,50.85,56196983
36,2020-03-06,289.03,56544246,161.57,72821057,1901.09,5273580,1295.74,3232315,181.09,24559550,204.64,21674133,39.68,48605591,47.37,24580865,368.97,8147165,55.77,36259158
37,2020-03-05,292.92,46893219,166.27,47817251,1924.03,4748210,1314.76,2718982,185.17,19333425,211.46,13445250,39.57,30255898,48.0,15841536,372.78,8746985,56.96,29099163
38,2020-03-04,302.74,54794568,170.55,49814383,1975.83,4772919,1381.6,2379856,191.76,23062473,211.96,12451613,41.39,30022089,50.54,14810599,383.79,5487340,58.68,29223071
39,2020-03-03,289.32,79868852,164.51,71677019,1908.99,7534491,1337.72,2830112,185.89,27984104,207.41,20777731,40.04,49294737,48.85,21830473,368.77,8364623,55.97,49740276
